topojson_id	topojson_name	jhu_name
4	Afghanistan	Afghanistan
8	Albania	Albania
12	Algeria	Algeria
20	Andorra	Andorra
28	Antigua and Barb.	Antigua and Barbuda
32	Argentina	Argentina
51	Armenia	Armenia
533	Aruba	Aruba
36	Australia	Australia
40	Austria	Austria
31	Azerbaijan	Azerbaijan
44	Bahamas	The Bahamas
48	Bahrain	Bahrain
50	Bangladesh	Bangladesh
112	Belarus	Belarus
56	Belgium	Belgium
204	Benin	Benin
64	Bhutan	Bhutan
68	Bolivia	Bolivia
70	Bosnia and Herz.	Bosnia and Herzegovina
76	Brazil	Brazil
96	Brunei	Brunei
100	Bulgaria	Bulgaria
854	Burkina Faso	Burkina Faso
116	Cambodia	Cambodia
120	Cameroon	Cameroon
124	Canada	Canada
140	Central African Rep.	Central African Republic
152	Chile	Chile
156	China	China
170	Colombia	Colombia
178	Congo	Congo (Brazzaville)
188	Costa Rica	Costa Rica
384	C̫te d'Ivoire	Cote d'Ivoire
191	Croatia	Croatia
192	Cuba	Cuba
196	Cyprus	Cyprus
203	Czechia	Czechia
180	Dem. Rep. Congo	Congo (Kinshasa)
208	Denmark	Denmark
214	Dominican Rep.	Dominican Republic
218	Ecuador	Ecuador
818	Egypt	Egypt
226	Eq. Guinea	Equatorial Guinea
233	Estonia	Estonia
748	eSwatini	Eswatini
231	Ethiopia	Ethiopia
246	Finland	Finland
250	France	France
266	Gabon	Gabon
268	Georgia	Georgia
276	Germany	Germany
288	Ghana	Ghana
300	Greece	Greece
304	Greenland	Greenland
316	Guam	Guam
320	Guatemala	Guatemala
831	Guernsey	Guernsey
324	Guinea	Guinea
328	Guyana	Guyana
340	Honduras	Honduras
348	Hungary	Hungary
352	Iceland	Iceland
356	India	India
360	Indonesia	Indonesia
364	Iran	Iran
368	Iraq	Iraq
372	Ireland	Ireland
376	Israel	Israel
380	Italy	Italy
388	Jamaica	Jamaica
392	Japan	Japan
832	Jersey	Jersey
400	Jordan	Jordan
398	Kazakhstan	Kazakhstan
404	Kenya	Kenya
414	Kuwait	Kuwait
428	Latvia	Latvia
422	Lebanon	Lebanon
430	Liberia	Liberia
438	Liechtenstein	Liechtenstein
440	Lithuania	Lithuania
442	Luxembourg	Luxembourg
807	Macedonia	North Macedonia
458	Malaysia	Malaysia
462	Maldives	Maldives
470	Malta	Malta
478	Mauritania	Mauritania
484	Mexico	Mexico
498	Moldova	Moldova
492	Monaco	Monaco
496	Mongolia	Mongolia
504	Morocco	Morocco
516	Namibia	Namibia
524	Nepal	Nepal
528	Netherlands	Netherlands
554	New Zealand	New Zealand
566	Nigeria	Nigeria
578	Norway	Norway
512	Oman	Oman
586	Pakistan	Pakistan
275	Palestine	occupied Palestinian territory
591	Panama	Panama
600	Paraguay	Paraguay
604	Peru	Peru
608	Philippines	Philippines
616	Poland	Poland
620	Portugal	Portugal
630	Puerto Rico	Puerto Rico
634	Qatar	Qatar
642	Romania	Romania
643	Russia	Russia
646	Rwanda	Rwanda
662	Saint Lucia	Saint Lucia
674	San Marino	San Marino
682	Saudi Arabia	Saudi Arabia
686	Senegal	Senegal
688	Serbia	Serbia
690	Seychelles	Seychelles
702	Singapore	Singapore
703	Slovakia	Slovakia
705	Slovenia	Slovenia
706	Somalia	Somalia
710	South Africa	South Africa
410	South Korea	Korea, South
724	Spain	Spain
144	Sri Lanka	Sri Lanka
670	St. Vin. and Gren.	Saint Vincent and the Grenadines
729	Sudan	Sudan
740	Suriname	Suriname
752	Sweden	Sweden
756	Switzerland	Switzerland
158	Taiwan	Taiwan*
834	Tanzania	Tanzania
764	Thailand	Thailand
768	Togo	Togo
780	Trinidad and Tobago	Trinidad and Tobago
788	Tunisia	Tunisia
792	Turkey	Turkey
804	Ukraine	Ukraine
784	United Arab Emirates	United Arab Emirates
826	United Kingdom	United Kingdom
840	United States of America	US
858	Uruguay	Uruguay
860	Uzbekistan	Uzbekistan
336	Vatican	Holy See
862	Venezuela	Venezuela
704	Vietnam	Vietnam
